Date,price,return,SMA1,SMA2,position,strategy,benchmark_returns,strategy_returns
2016-09-27,38.85905456542969,0.011302440044722988,38.43984508514404,36.34853759765625,1,0.011302440044722988,1.1824374629569403,0.8572267572833412
2016-09-28,38.78708267211914,-0.0018538440283959832,38.45285968780517,36.35913059234619,1,-0.0018538440283959832,1.180247438935974,0.8556390647002841
2016-09-29,38.4620246887207,-0.008415887589631394,38.455130100250244,36.36588987350464,1,-0.008415887589631394,1.1703562889452717,0.8484683189332062
2016-09-30,38.57518005371094,0.002937683077831002,38.46217708587646,36.37429931640625,1,0.002937683077831002,1.1737994798359233,0.8509645146766325
2016-10-03,38.34043884277344,-0.006103882231595833,38.45019187927246,36.37788988113403,1,-0.006103882231595833,1.1666565679710703,0.8457861476447248
2016-10-04,38.53249740600586,0.0049967900853723456,38.44357891082764,36.38458961486816,1,0.0049967900853723456,1.1725006947206111,0.8500229398469389
2016-10-05,38.53448867797851,5.167639411568719e-05,38.43391408920288,36.39381046295166,1,5.167639411568719e-05,1.1725612868941915,0.8500668671023771
2016-10-06,38.553836822509766,0.0005019734132741561,38.42421169281006,36.40102880477905,1,0.0005019734132741561,1.1731500292397867,0.8504936851858705
2016-10-07,38.46549987792969,-0.0022938910434643933,38.41209001541138,36.40725212097168,1,-0.0022938910434643933,1.1704620350566355,0.8485449812506475
2016-10-10,39.00446319580078,0.013914348016734877,38.41546468734741,36.4160933303833,1,0.013914348016734877,1.1868620845518516,0.8604344567523066
2016-10-11,38.86202621459961,-0.0036584965150338283,38.416246223449704,36.4246962928772,1,-0.0036584965150338283,1.1825278869094675,0.8572923115591773
2016-10-12,39.014381408691406,0.0039127482408658374,38.42741231918335,36.43055978775024,1,0.0039127482408658374,1.1871638846501456,0.860653251511195
2016-10-13,38.619842529296875,-0.010164132672760869,38.42527837753296,36.43095430374146,1,-0.010164132672760869,1.1751585088939334,0.8519497643062731
2016-10-14,38.636714935302734,0.0004367889750159559,38.42655620574951,36.43282278060913,1,0.0004367889750159559,1.1756719172919157,0.8523219678518746
2016-10-17,38.70769119262695,0.0018353305895214094,38.43218908309937,36.4380535697937,1,0.0018353305895214094,1.1778316452260917,0.8538876968072124
2016-10-18,39.46699523925781,0.019426439948811346,38.46086177825928,36.45130916595459,1,0.019426439948811346,1.20093641605883,0.8706378661812391
2016-10-19,39.776668548583984,0.007815763959373005,38.497362995147704,36.46592952728272,1,0.007815763959373005,1.2103594276662941,0.8774692276165489
2016-10-20,39.55185317993164,-0.005667973274180958,38.53127098083496,36.479167747497556,1,-0.005667973274180958,1.2035185480536568,0.8725098236471904
2016-10-21,39.67096328735352,0.00300696699464192,38.56844234466553,36.49727691650391,1,0.00300696699464192,1.2071429350802458,0.8751373803977802
2016-10-24,40.35284805297851,0.01704245919597732,38.62249946594238,36.5217533493042,1,0.01704245919597732,1.2278919239918777,0.8901796883750215
2016-10-25,40.08286666870117,-0.006712998052881467,38.66656894683838,36.54449277877808,1,-0.006712998052881467,1.2196766931623941,0.8842239267344174
2016-10-26,39.65607070922851,-0.01070493410734704,38.70376501083374,36.56260688781738,1,-0.01070493410734704,1.2066897706249609,0.8748088516521259
2016-10-27,39.47146224975586,-0.00466610767501448,38.73887672424316,36.58612798690796,1,-0.00466610767501448,1.2010723421800233,0.8707364079745692
2016-10-28,39.47244644165039,2.4933954016098694e-05,38.77186679840088,36.60614038467407,1,2.4933954016098694e-05,1.201102290035931,0.8707581191467973
2016-10-31,38.93498229980469,-0.013709735640754332,38.78809509277344,36.62849523544312,1,-0.013709735640754332,1.1847478587863414,0.8589017153144626
2016-11-01,38.88882827758789,-0.0011861158502888055,38.7924747467041,36.64879795074463,1,-0.0011861158502888055,1.1833434436366266,0.8578835623191582
2016-11-02,38.148887634277344,-0.01921041895038764,38.77802095413208,36.666229763031005,1,-0.01921041895038764,1.1608278794573266,0.8415605476359461
2016-11-03,37.82282257080078,-0.008583907476286297,38.76165618896484,36.680011386871335,1,-0.008583907476286297,1.1509060851489514,0.8343675857856581
2016-11-04,37.81736755371094,-0.0001442359436252992,38.76458425521851,36.68913543701172,1,-0.0001442359436252992,1.1507400950948898,0.8342472486682693
2016-11-07,38.83473205566406,0.026546546090367735,38.78133354187012,36.7067160987854,1,0.026546546090367735,1.1816973562543545,0.8566902052130823
2016-11-08,39.231258392333984,0.010158834713516514,38.819571781158444,36.72593940734863,1,0.010158834713516514,1.1937632081071865,0.8654375355216122
2016-11-09,38.97319412231445,-0.00659975739041058,38.84788436889649,36.74711061477661,1,-0.00659975739041058,1.1859106017034993,0.8597446641989954
2016-11-10,37.84416198730469,-0.029397352383892243,38.83647003173828,36.75495180130005,1,-0.029397352383892243,1.1515554196681268,0.8348383311245894
2016-11-11,37.42033767700195,-0.01126238245257797,38.81803321838379,36.757698707580566,1,-0.01126238245257797,1.138658921083221,0.8254888103181343
2016-11-14,36.5300178527832,-0.024080015253682738,38.78128385543823,36.75374834060669,1,-0.024080015253682738,1.1115674870289802,0.8058484463310215
2016-11-15,37.64217758178711,0.029990836384662923,38.76525402069092,36.75221981048584,1,0.029990836384662923,1.1454092606663702,0.8303825758598261
2016-11-16,37.93944549560547,0.007866183194970577,38.75068817138672,36.76153247833252,1,0.007866183194970577,1.154454789997045,0.8369402755428647
2016-11-17,38.27443313598633,0.008790782037422156,38.730861854553225,36.77721979141236,1,0.008790782037422156,1.1646480883169237,0.8443300685243221
2016-11-18,37.74391555786133,-0.013957845710406966,38.698157119750974,36.796319065093996,1,-0.013957845710406966,1.148505033213101,0.8326269051750397
2016-11-21,38.17369079589844,0.01132227028430938,38.691941261291504,36.8177731513977,1,0.01132227028430938,1.1615826118569834,0.8421077028368279
2016-11-22,38.12753677368164,-0.0012097846736182456,38.673653316497806,36.840145359039305,1,-0.0012097846736182456,1.1601781967072684,0.8410895498415236
2016-11-23,37.7662467956543,-0.009521009238558307,38.64813241958618,36.859219799041746,1,-0.009521009238558307,1.149184547742106,0.83311952998986
2016-11-25,37.80049514770508,0.000906439883868942,38.63159418106079,36.87871612548828,1,0.000906439883868942,1.1502266866969073,0.833875045122668
2016-11-28,38.12604904174805,0.00857554871276492,38.620365905761716,36.90001636505127,1,0.00857554871276492,1.1601329266925244,0.8410567306276904
2016-11-29,38.25508499145508,0.0033787419916025707,38.61823205947876,36.91982780456543,1,0.0033787419916025707,1.1640593459713289,0.843903250440829
2016-11-30,37.619842529296875,-0.01674485434974242,38.59541568756104,36.93214544296265,1,-0.01674485434974242,1.1447296300604046,0.8298898668931756
2016-12-01,37.11761093139648,-0.013440092877610983,38.559993743896484,36.94469383239746,1,-0.013440092877610983,1.1294472856215239,0.8188106893658768
2016-12-02,37.24565505981445,0.0034437501703361772,38.5272891998291,36.95699907302856,1,0.0034437501703361772,1.1333435248904993,0.8216353297031268
2016-12-05,37.8421745300293,0.01588891363821537,38.511706066131595,36.97090970993042,1,0.01588891363821537,1.1514949435715076,0.8347944880209817
2016-12-06,37.672950744628906,-0.004481858913751599,38.47841825485229,36.986606998443605,1,-0.004481858913751599,1.146345653509808,0.831061428675193
2016-12-07,38.27245330810547,0.015788052580668625,38.46367893218994,37.00438117980957,1,0.015788052580668625,1.1645878443742261,0.844286393724375
2016-12-08,38.53199768066406,0.006758602065045165,38.45161933898926,37.02191715240478,1,0.006758602065045165,1.1724854886387357,0.8500119159571643
2016-12-09,39.17071533203125,0.016440405050382887,38.46539115905762,37.042815399169925,1,0.016440405050382887,1.191920950661024,0.8641019618222592
2016-12-12,39.16972351074219,-2.532079992829621e-05,38.4787163734436,37.06552011489868,1,-2.532079992829621e-05,1.1918907706511948,0.8640800823463703
2016-12-13,39.5086784362793,0.008616266069182475,38.49874105453491,37.08469877243042,1,0.008616266069182475,1.202204789010391,0.8715573932313831
2016-12-14,39.55681991577149,0.0012177621451799567,38.500986671447755,37.10410821914673,1,0.0012177621451799567,1.203669680256726,0.8726193893302957
2016-12-15,39.59552764892578,0.0009780565562704279,38.4964581489563,37.12530675888061,1,0.0009780565562704279,1.2048475131787983,0.8734732779527729
2016-12-16,39.24565505981445,-0.008875434736190145,38.488803195953366,37.14513557434082,1,-0.008875434736190145,1.1942012825575568,0.8657551245293221
2016-12-19,39.41438293457031,0.0042900598026347336,38.48238868713379,37.16971124649048,1,0.0042900598026347336,1.1993354826143414,0.8694772441371663
2016-12-20,39.524559020996094,0.00279142727880496,38.46168146133423,37.1951330947876,1,0.00279142727880496,1.202688017398544,0.8719077173010956
