Date,price,return,SMA1,SMA2,position,strategy,benchmark_returns,strategy_returns
2017-04-19,32.56526184082031,-0.003689657092285664,32.57730894088745,27.2783700466156,1,-0.003689657092285664,1.30630168881597,1.303076640256032
2017-04-20,32.97267532348633,0.01243306544219278,32.608154106140134,27.334910335540773,1,0.01243306544219278,1.3226444077246782,1.3193790116228723
2017-04-21,32.93333435058594,-0.0011938509937896634,32.64137244224548,27.390638122558595,1,-0.0011938509937896634,1.3210663095785418,1.3178048095469908
2017-04-24,33.25046157836914,0.009583302087774173,32.6817666053772,27.447484016418457,1,0.009583302087774173,1.333787344503661,1.3304944382849195
2017-04-25,33.456485748291016,0.00617701253789621,32.725748491287234,27.504516153335572,1,0.00617701253789621,1.3420516637780266,1.3387383542855216
2017-04-26,33.259727478027344,-0.005898381553693466,32.764464378356934,27.560222396850588,1,-0.005898381553693466,1.3341590307634268,1.33086520691115
2017-04-27,33.285186767578125,0.0007651761545293461,32.78761262893677,27.61555417060852,1,0.0007651761545293461,1.3351802881111736,1.331883942938924
2017-04-28,33.25277328491211,-0.0009742855117421393,32.814754009246826,27.671351041793823,1,-0.0009742855117421393,1.3338800747932527,1.3305869396383552
2017-05-01,33.9310417175293,0.020192109596910958,32.854106998443605,27.728349771499634,1,0.020192109596910958,1.3610876926324487,1.3577273862494323
2017-05-02,34.14630889892578,0.006324214938646905,32.9013876914978,27.78643626213074,1,0.006324214938646905,1.369722780044901,1.3663411550212805
2017-05-03,34.04214096069336,-0.0030552980594075073,32.945022392272946,27.842804527282716,1,-0.0030552980594075073,1.3655442552629222,1.3621729463442613
2017-05-04,33.919464111328125,-0.0036101849706738146,32.98859949111939,27.8985138130188,1,-0.0036101849706738146,1.360623276083091,1.3572641162697656
2017-05-05,34.48196029663086,0.01644728513577042,33.048091125488284,27.956932935714722,1,0.01644728513577042,1.3831868814489918,1.3797720157266753
2017-05-08,35.41947937011719,0.026825636162244166,33.128358364105225,28.0206440448761,1,0.026825636162244166,1.4207939105273593,1.417286199104841
2017-05-09,35.646331787109375,0.0063843129017816256,33.2139497756958,28.086367473602294,1,0.0063843129017816256,1.4298937205297286,1.4263635431413504
2017-05-10,35.47734832763672,-0.004751828847121647,33.29653177261353,28.152751274108887,1,-0.004751828847121647,1.4231152281727475,1.4196017857906864
2017-05-11,35.784156799316406,0.00861083040161444,33.37827701568604,28.221433181762695,1,0.00861083040161444,1.4354223432408608,1.4318785165730965
2017-05-12,36.28391647338867,0.013869322778326821,33.47118539810181,28.2854523563385,1,0.013869322778326821,1.4554693770842797,1.4518760575174545
2017-05-15,36.190940856933594,-0.002565735784375232,33.5658200263977,28.347421598434448,1,-0.002565735784375232,1.4517398138033932,1.4481557019278626
2017-05-16,36.13747787475586,-0.0014783398518072597,33.65061101913452,28.409271755218505,1,-0.0014783398518072597,1.4495952345812364,1.4460164173265362
2017-05-17,34.92413330078125,-0.034152406267510024,33.714443874359134,28.46295693397522,1,-0.034152406267510024,1.4009239211477313,1.3974652655299966
2017-05-18,35.45642852783203,0.01512648841526644,33.78244066238403,28.52109395980835,1,0.01512648841526644,1.4222760649580266,1.4187646943348406
2017-05-19,35.57728576660156,0.0034028167212923695,33.856352138519284,28.57834138870239,1,0.0034028167212923695,1.4271240534643674,1.4236007139380675
2017-05-22,35.79347229003906,0.0060581445542746,33.93728837966919,28.635924491882324,1,0.0060581445542746,1.4357960187642649,1.4322512695517937
2017-05-23,35.749305725097656,-0.0012346898394944503,34.015731716156004,28.691440839767456,1,-0.0012346898394944503,1.434024349964113,1.4304839747166773
2017-05-24,35.64238357543945,-0.002995369087074314,34.07460327148438,28.745402154922484,1,-0.002995369087074314,1.4297353445400796,1.4262055581565218
2017-05-25,35.76557922363281,0.003450477106270713,34.13470335006714,28.799474983215333,1,0.003450477106270713,1.4346771344779707,1.4311351476106664
2017-05-26,35.70512771606445,-0.0016916447191531404,34.194391918182376,28.854174251556397,1,-0.0016916447191531404,1.4322522221031213,1.4287162219540683
2017-05-30,35.719085693359375,0.0003908472157081678,34.25599136352539,28.90902356147766,1,0.0003908472157081678,1.4328121233071078,1.4292747408521242
2017-05-31,35.50756072998047,-0.005939507076184865,34.31207151412964,28.96252861022949,1,-0.005939507076184865,1.4243271487891924,1.4208107143702442
2017-06-01,35.605186462402344,0.002745662278757648,34.36440010070801,29.01503129005432,1,0.002745662278757648,1.4282432437912211,1.4247171411641897
2017-06-02,36.1328239440918,0.014710388357054934,34.434259700775144,29.0702868270874,1,0.014710388357054934,1.4494085498398146,1.445830193479685
2017-06-05,35.77951431274414,-0.009826199027902955,34.497369861602785,29.123959255218505,1,-0.009826199027902955,1.4352361175602784,1.431692750653738
2017-06-06,35.90040969848633,0.0033732039212898894,34.56535482406616,29.178396673202514,1,0.0033732039212898894,1.4400856362694174,1.4365302966819389
2017-06-07,36.11423110961914,0.0059382935767223165,34.63966884613037,29.2335821723938,1,0.0059382935767223165,1.4486627289958052,1.445086213947265
2017-06-08,36.025901794433594,-0.002448827185937917,34.72068710327149,29.289300546646118,1,-0.002448827185937917,1.4451195444157812,1.4415517769195296
2017-06-09,34.62894821166992,-0.03954818825331186,34.76579761505127,29.337644348144533,1,-0.03954818825331186,1.389083058872334,1.3856536364372218
2017-06-12,33.80145263671875,-0.024186206797505844,34.79456090927124,29.382790832519532,1,-0.024186206797505844,1.3558894407055215,1.3525419679696133
2017-06-13,34.07340621948242,0.008013424783080793,34.82560873031616,29.429824476242064,1,0.008013424783080793,1.3667984094766072,1.363424004253107
2017-06-14,33.74100875854492,-0.00980322909464111,34.851992988586424,29.47591844558716,1,-0.00980322909464111,1.3534648343712317,1.3501233475980103
2017-06-15,33.53879165649414,-0.006011245863706646,34.87633123397827,29.5211389541626,1,-0.006011245863706646,1.3453532293361605,1.3420317688098324
2017-06-16,33.06926345825195,-0.014098474265089561,34.87874593734741,29.564951992034914,1,-0.014098474265089561,1.3265188812105864,1.3232439196575196
