Date,price,return,sma,distance,position,strategy,benchmark_returns,strategy_returns
2016-09-12,38.16476058959961,0.012246001646610672,38.45809160868327,-0.29333101908365933,0.0,0.0,1.4045853922270106,1.1416493501665903
2016-09-13,37.70172882080078,-0.012206641477023097,38.436271794637044,-0.7345429738362625,0.0,-0.0,1.387544340520031,1.1416493501665903
2016-09-14,37.84069061279297,0.003679044165533249,38.422078196207686,-0.5813875834147169,0.0,0.0,1.392658579417238,1.1416493501665903
2016-09-15,38.30073547363281,0.012084104085385506,38.41972910563151,-0.11899363199869839,0.0,0.0,1.4095897033473284,1.1416493501665903
2016-09-16,38.15781021118164,-0.0037386384385987258,38.41521275838216,-0.25740254720052036,0.0,-0.0,1.404329596046306,1.1416493501665903
2016-09-19,37.99999237060547,-0.004144501577715828,38.38788426717122,-0.38789189656575473,0.0,-0.0,1.3985213941846517,1.1416493501665903
2016-09-20,38.28337097167969,0.007429664665966332,38.370762761433916,-0.08739178975422845,0.0,0.0,1.4089506340747884,1.1416493501665903
2016-09-21,38.52207946777344,0.006215945960311595,38.35746269226074,0.16461677551269815,0.0,0.0,1.4177358710691776,1.1416493501665903
2016-09-22,39.06748580932617,0.014058986491393997,38.36164779663086,0.7058380126953097,0.0,0.0,1.437808570814652,1.1416493501665903
2016-09-23,39.05210494995117,-0.00039377726954925634,38.3650390625,0.687065887451169,0.0,-0.0,1.437242505940557,1.1416493501665903
2016-09-26,38.422325134277344,-0.016258104440158606,38.3501340230306,0.07219111124674527,0.0,-0.0,1.4140645921858472,1.1416493501665903
2016-09-27,38.85905456542969,0.011302440044722988,38.35107701619466,0.5079775492350294,0.0,0.0,1.4301376336480636,1.1416493501665903
2016-09-28,38.78708267211914,-0.0018538440283959832,38.35838851928711,0.42869415283202983,0.0,-0.0,1.4274888375221824,1.1416493501665903
2016-09-29,38.4620246887207,-0.008415887589631394,38.35028266906738,0.11174201965332031,0.0,-0.0,1.415525662906261,1.1416493501665903
2016-09-30,38.57518005371094,0.002937683077831002,38.34993527730306,0.22524477640787666,0.0,0.0,1.4196901426583155,1.1416493501665903
2016-10-03,38.34043884277344,-0.006103882231595833,38.34520403544108,-0.004765192667640861,0.0,-0.0,1.4110509144608159,1.1416493501665903
