Date,price,return,sma,distance,position,strategy,benchmark_returns,strategy_returns
2017-07-19,18.38599967956543,0.0014150695774869967,15.630999978383382,2.7549997011820473,-1.0,-0.0014150695774869967,2.7612531764636787,1.109249953762558
2017-07-20,18.36000061035156,-0.001415069577487026,15.69096663792928,2.6690339724222785,-1.0,0.001415069577487026,2.757348574391283,1.1108207307432023
2017-07-21,18.854000091552734,0.026550679393944412,15.766499996185303,3.0875000953674316,-1.0,-0.026550679393944412,2.8315385918181954,1.0817157735972376
2017-07-24,18.791000366210938,-0.003347046534187001,15.866099993387857,2.92490037282308,-1.0,0.003347046534187001,2.822077143175307,1.0853423924736363
2017-07-25,18.69700050354004,-0.005014941180918063,15.984533341725667,2.712467161814372,-1.0,0.005014941180918063,2.807960020151768,1.0907989915588272
2017-07-26,18.90800094604492,0.011222052850364799,16.105733362833657,2.802267583211261,-1.0,-0.011222052850364799,2.839648568626474,1.0786264160147725
2017-07-27,18.26799964904785,-0.03443428685365108,16.207333342234293,2.060666306813559,-1.0,0.03443428685365108,2.7435316511309225,1.1164150255224767
2017-07-28,18.40399932861328,0.0074171197012976855,16.314933331807456,2.089065996805825,-1.0,-0.0074171197012976855,2.763956406583054,1.1081650748991343
2017-07-31,18.166000366210938,-0.01301626057358178,16.41253334681193,1.7534670193990074,-1.0,0.01301626057358178,2.7282131561543634,1.1226835232465797
2017-08-01,18.20299911499023,0.002034631805702705,16.507966645558675,1.6950324694315562,-1.0,-0.002034631805702705,2.733769716274701,1.1204015978686321
2017-08-02,18.073999404907227,-0.007111958490450632,16.603599961598714,1.4703994433085121,-1.0,0.007111958490450632,2.7143962328940026,1.128398249747593
2017-08-03,17.92300033569336,-0.008389585575200757,16.684266630808512,1.2387337048848472,-1.0,0.008389585575200757,2.6917188334174185,1.1379048659515285
2017-08-04,18.027000427246097,0.005785834741031257,16.768866634368898,1.2581337928771994,-1.0,-0.005785834741031257,2.7073378146073117,1.1313401459519437
2017-08-07,18.132999420166016,0.005862792974917255,16.84656661351522,1.2864328066507973,-1.0,-0.005862792974917255,2.7232569955603805,1.1247267383549957
2017-08-08,17.836000442504883,-0.01651453912028337,16.916099961598714,0.9199004809061684,-1.0,0.01651453912028337,2.678652982465312,1.1434553032323278
2017-08-09,17.577999114990234,-0.014570841780005988,16.998599942525228,0.5793991724650063,-1.0,0.014570841780005988,2.639905729253758,1.1602383844156703
2017-08-10,16.913999557495117,-0.03850641459688999,17.05103327433268,-0.13703371683756416,0.0,0.03850641459688999,2.540184695899144,1.2057863206812514
2017-08-11,17.139999389648438,0.013273222361874925,17.122066593170167,0.017932796478270063,0.0,0.0,2.574125888398303,1.2057863206812514
2017-08-14,17.100000381469727,-0.0023363917430719765,17.194033273061116,-0.0940328915913895,0.0,-0.0,2.5681187421830436,1.2057863206812514
2017-08-15,16.850000381469727,-0.014727806379261705,17.268466631571453,-0.41846625010172644,0.0,-0.0,2.530573147374666,1.2057863206812514
2017-08-16,16.99799919128418,0.008744963061793808,17.343033281962075,-0.3450340906778955,0.0,0.0,2.552799960756328,1.2057863206812514
2017-08-17,16.608999252319336,-0.023150970399053714,17.40916659037272,-0.8001673380533845,0.0,-0.0,2.494379024400898,1.2057863206812514
2017-08-18,16.65399932861328,0.00270571539952169,17.463699913024904,-0.8097005844116225,0.0,0.0,2.5011372429244125,1.2057863206812514
2017-08-21,16.676000595092773,0.0013202082043472713,17.510666592915854,-0.8346659978230804,0.0,0.0,2.5044414454704533,1.2057863206812514
2017-08-22,16.93400001525879,0.01535284041702737,17.560699939727783,-0.6266999244689941,0.0,0.0,2.5431884122318515,1.2057863206812514
2017-08-23,16.9060001373291,-0.001654839491325264,17.595066610972086,-0.6890664736429848,0.0,-0.0,2.5389833239461232,1.2057863206812514
2017-08-24,16.812999725341797,-0.005516216269104871,17.628133265177407,-0.8151335398356103,0.0,-0.0,2.525016300804173,1.2057863206812514
2017-08-25,16.594999313354492,-0.013050976565442423,17.64423325856527,-1.0492339452107764,0.0,-0.0,2.4922764802580346,1.2057863206812514
2017-08-28,16.711999893188477,0.007025614067670545,17.66229991912842,-0.9503000259399421,0.0,0.0,2.5098479057092025,1.2057863206812514
2017-08-29,16.881000518798828,0.010061741989000623,17.61299991607666,-0.731999397277832,0.0,0.0,2.5352288217553167,1.2057863206812514
2017-08-30,17.4689998626709,0.034239113809831266,17.58243325551351,-0.11343339284261234,0.0,0.0,2.6235359622057666,1.2057863206812514
2017-08-31,17.47100067138672,0.0001145282591543468,17.552799924214682,-0.08179925282796319,0.0,0.0,2.6238364484191,1.2057863206812514
2017-09-01,17.474000930786133,0.0001717132218760272,17.506799952189127,-0.032799021402993844,0.0,0.0,2.6242870345140217,1.2057863206812514
2017-09-05,17.45199966430664,-0.0012598791166940455,17.462166595458985,-0.01016693115234446,0.0,-0.0,2.620982831967981,1.2057863206812514
2017-09-06,17.924999237060547,0.026742107896686976,17.436433219909667,0.4885660171508803,0.0,0.0,2.692019033180596,1.2057863206812514
2017-09-07,17.899999618530273,-0.0013956523872614955,17.40283317565918,0.49716644287109446,0.0,-0.0,2.68826453098979,1.2057863206812514
2017-09-08,17.642000198364258,-0.01451825745511155,17.38196652730306,0.2600336710611977,0.0,-0.0,2.6495175642283915,1.2057863206812514
2017-09-11,18.173999786376953,0.02970955543839364,17.374299875895183,0.7996999104817704,0.0,0.0,2.729414528107385,1.2057863206812514
2017-09-12,18.51499938964844,0.018589191881494695,17.38593317667643,1.1290662129720097,0.0,0.0,2.7806266598443803,1.2057863206812514
2017-09-13,18.36400032043457,-0.008188937564290628,17.391299883524578,0.9727004369099923,0.0,-0.0,2.7579492603677958,1.2057863206812514
2017-09-14,18.26300048828125,-0.005515061890040826,17.397599919637045,0.8654005686442048,0.0,-0.0,2.7427808652728247,1.2057863206812514
2017-09-15,18.23500061035156,-0.001534324213921689,17.407999928792318,0.827000681559241,0.0,-0.0,2.738575776987096,1.2057863206812514
2017-09-18,18.461999893188477,0.012371702050405506,17.422499910990396,1.0394999821980804,0.0,0.0,2.772667069367845,1.2057863206812514
2017-09-19,18.56800079345703,0.005725151922153331,17.436999956766766,1.1310008366902657,0.0,0.0,2.7885865367710707,1.2057863206812514
