Date,price,return,sma,distance,position,strategy,benchmark_returns,strategy_returns
2016-09-15,9.734000205993652,0.003395937573673558,9.796499919891357,-0.06249971389770437,0.0,0.0,2.1045835984637735,1.0
2016-09-16,9.947999954223633,0.021746588766048996,9.817499923706055,0.13050003051757741,0.0,0.0,2.1508523832047963,1.0
2016-09-19,9.805999755859377,-0.014377103007617588,9.824299907684326,-0.01830015182494904,0.0,-0.0,2.1201505872183937,1.0
2016-09-20,9.824999809265137,0.001935720010131389,9.805899906158448,0.019099903106688743,0.0,0.0,2.124258579813574,1.0
2016-09-21,9.48799991607666,-0.03490230493194615,9.76319990158081,-0.27519998550415004,0.0,-0.0,2.051395991681328,1.0
2016-09-22,9.583000183105469,0.009962881058786295,9.724899959564208,-0.14189977645873952,0.0,0.0,2.071935954657228,1.0
2016-09-23,9.593999862670898,0.0011471742968638778,9.71929998397827,-0.12530012130737234,0.0,0.0,2.0743141901936832,1.0
2016-09-26,9.456000328063965,-0.01448839340833355,9.674400043487548,-0.21839971542358327,0.0,-0.0,2.04447737583338,1.0
2016-09-27,9.70699977874756,0.026197756579530215,9.684200000762939,0.022799777984621628,0.0,0.0,2.0987458488098696,1.0
2016-09-28,9.748000144958496,0.004214898696540293,9.688899993896484,0.05910015106201172,0.0,0.0,2.107610518671435,1.0
2016-09-29,9.666999816894531,-0.00834414609237185,9.682199954986572,-0.015200138092041016,0.0,-0.0,2.090097475903197,1.0
2016-09-30,9.854999542236328,0.019260889613615495,9.672899913787841,0.18209962844848704,0.0,0.0,2.130744807945209,1.0
2016-10-03,10.262999534606934,0.040566255162095624,9.718599891662597,0.5443996429443363,0.0,0.0,2.218958294070656,1.0
2016-10-04,10.234000205993652,-0.002829618805626103,9.75949993133545,0.47450027465820277,0.0,-0.0,2.212688362893914,1.0
2016-10-05,10.628000259399414,0.037776521793476354,9.873499965667724,0.7545002937316898,0.0,0.0,2.2978749288116993,1.0
2016-10-06,10.506999969482422,-0.011450353502599292,9.96589994430542,0.541100025177002,0.0,-0.0,2.271713513136789,1.0
2016-10-07,10.482000350952148,-0.0023821649407536794,10.054699993133545,0.42730035781860387,0.0,-0.0,2.266308357392672,1.0
2016-10-10,10.333000183105469,-0.014316858908711337,10.142399978637695,0.19060020446777415,0.0,-0.0,2.2340931013024385,1.0
2016-10-11,10.059000015258787,-0.026874917283543347,10.177600002288818,-0.11859998703003072,0.0,-0.0,2.1748516541046694,1.0
2016-10-12,9.949999809265137,-0.01089522566796176,10.197799968719483,-0.2478001594543464,0.0,-0.0,2.1512847709211087,1.0
2016-10-13,10.02299976348877,0.007309896444710413,10.233399963378906,-0.21040019989013636,0.0,0.0,2.1670680566306224,1.0
2016-10-14,10.147000312805176,0.012295697678422134,10.26260004043579,-0.11559972763061488,0.0,0.0,2.1938781569767385,1.0
2016-10-17,9.979999542236328,-0.0165950816690327,10.23430004119873,-0.2543004989624027,0.0,-0.0,2.157770999052744,1.0
2016-10-18,11.878999710083008,0.17418906644629262,10.398799991607666,1.4801997184753422,0.0,0.0,2.5683529306484707,1.0
2016-10-19,12.187000274658203,0.0255977214767867,10.554699993133545,1.6323002815246586,0.0,0.0,2.634945587603975,1.0
2016-10-20,12.335000038146973,0.0120709206955526,10.7375,1.597500038146972,0.0,0.0,2.666944546739315,1.0
2016-10-21,12.75,0.03309051853053535,10.964299964904786,1.7857000350952141,0.0,0.0,2.7566714929685934,1.0
2016-10-24,12.732999801635742,-0.0013342385918894166,11.204299926757812,1.5286998748779297,0.0,-0.0,2.7529958880897256,1.0
2016-10-25,12.651000022888184,-0.006460767770813626,11.463499927520752,1.1875000953674313,0.0,-0.0,2.7352667545600684,1.0
2016-10-26,12.696999549865724,0.003629444393903475,11.73819990158081,0.9587996482849146,0.0,0.0,2.7452122906156786,1.0
2016-10-27,12.647000312805176,-0.003945652004248926,12.00059995651245,0.646400356292725,0.0,-0.0,2.734401979127444,1.0
2016-10-28,12.656999588012695,0.0007903316287697989,12.251599884033203,0.40539970397949254,0.0,0.0,2.7365639177090064,1.0
2016-10-31,12.487000465393066,-0.01352224885694265,12.502299976348876,-0.015299510955809836,0.0,-0.0,2.6998084875007553,1.0
2016-11-01,12.329999923706056,-0.012652829414628594,12.547399997711182,-0.21740007400512518,0.0,-0.0,2.6658634743517973,1.0
2016-11-02,12.234000205993652,-0.007816333330411604,12.552099990844727,-0.31809978485107493,0.0,-0.0,2.6451074206144782,1.0
