Date,price,return,position,strategy,benchmark_returns,strategy_returns
2015-11-11,108.25382232666016,0.01014199918694594,1.0,-0.01014199918694594,14.315168794665421,7.648126177828075
2015-11-12,107.27067565917967,-0.009123357168794978,1.0,-0.009123357168794978,14.185160355310483,7.5786669236179804
2015-11-13,103.2289047241211,-0.03840642090024558,-1.0,-0.03840642090024558,13.650688390060647,7.293116044869993
2015-11-16,103.31830596923828,0.00086567376436725,-1.0,-0.00086567376436725,13.66251054919369,7.286805317559098
2015-11-17,104.4007339477539,0.010422133443191088,-1.0,-0.010422133443191088,13.805647658696971,7.2112556384383595
2015-11-18,107.0224151611328,0.02480159443496256,1.0,-0.02480159443496256,14.152331113273517,7.034604668604589
2015-11-19,105.52288818359376,-0.014110421016206815,1.0,-0.014110421016206815,13.954038052259456,6.936040461648386
2015-11-20,106.57553100585938,0.009926066107114238,1.0,0.009926066107114238,14.09323645982935,7.00523088405414
2015-11-23,106.20809936523438,-0.0034535739914378118,-1.0,-0.0034535739914378118,14.044648374503588,6.981079529119363
2015-11-24,105.0064926147461,-0.011378188437151087,-1.0,0.011378188437151087,13.885751412822698,7.060965182653773
2015-11-25,104.67878723144533,-0.0031256905620299417,-1.0,0.0031256905620299417,13.842416611556141,7.083070103458205
2015-11-27,104.718505859375,0.0003793614312748518,-1.0,-0.0003793614312748518,13.847668886726527,7.080383569461847
2015-11-30,103.51689910888672,-0.01154097774960707,-1.0,0.01154097774960707,13.688771925045637,7.162571470822401
2015-12-01,106.37692260742188,0.02725378480386827,1.0,-0.02725378480386827,14.066973066199777,6.970000354697065
2015-12-02,105.3342056274414,-0.009850454437822637,1.0,-0.009850454437822637,13.929087222978074,6.901679730804479
2015-12-03,103.65593719482422,-0.016061087731416575,1.0,-0.016061087731416575,13.707157914808443,6.791716674119828
2015-12-04,105.44343566894533,0.017097535910741913,-1.0,0.017097535910741913,13.943531484141051,6.9088366724546475
2015-12-07,104.8773956298828,-0.005382647094133344,-1.0,0.005382647094133344,13.868680005185713,6.946124766390103
2015-12-08,105.75128936767578,0.008298003211310629,1.0,-0.008298003211310629,13.984241156711231,6.8887242848302765
