Date,price,return,position,strategy,benchmark_returns,strategy_returns
2015-01-06,4.650143146514893,-0.017268818560519757,-1.0,0.017268818560519757,9.82879432884301,10.174187866211199
2015-01-07,4.674285888671875,0.005178396664592713,1.0,-0.005178396664592713,9.87982373583516,10.121638064987888
2015-01-08,4.7779998779296875,0.021945623368420444,1.0,0.021945623368420444,10.099039238954212,10.346218992758631
2015-01-09,4.704143047332764,-0.015578403499144765,-1.0,-0.015578403499144765,9.94293144294767,10.186290369278224
2015-01-12,4.554714202880859,-0.03228083471724252,-1.0,0.03228083471724252,9.627090546734577,10.520477220819878
2015-01-13,4.625570774078369,0.015436988822646682,1.0,-0.015436988822646682,9.776856832030397,10.359319824330287
2015-01-14,4.631999969482422,0.0013889597208056623,1.0,0.0013889597208056623,9.790445927534634,10.373718499576361
2015-01-15,4.625143051147461,-0.0014814332183745325,-1.0,-0.0014814332183745325,9.77595277368527,10.358361906085404
2015-01-16,4.819142818450928,0.04108877328781448,1.0,-0.04108877328781448,10.186001185656899,9.941374928290957
2015-01-20,4.9828572273254395,0.03340739318553458,1.0,0.03340739318553458,10.532036824302056,10.279100200418958
2015-01-21,5.846857070922852,0.15990079710080388,1.0,0.15990079710080388,12.358233673583133,12.061439240113074
2015-01-22,6.120571136474609,0.04575115108523726,1.0,0.04575115108523726,12.936770542332203,12.626082009855992
2015-01-23,6.249429225921631,0.02083472060220774,1.0,0.02083472060220774,13.209131976997206,12.89190243228287
2015-01-26,6.379428863525391,0.02058843780045937,1.0,0.02058843780045937,13.483906249653545,13.16007774616086
2015-01-27,6.488142967224121,0.016897778683113596,1.0,0.016897778683113596,13.713690265377911,13.384343285817472
2015-01-28,6.320857048034668,-0.02612154437810706,-1.0,-0.02612154437810706,13.360105689157532,13.039250370845366
2015-01-29,6.340000152587891,0.0030239846856650724,1.0,-0.0030239846856650724,13.400567591413202,12.999879435965678
2015-01-30,6.311429023742676,-0.00451667191408626,-1.0,-0.00451667191408626,13.340178106549072,12.941295647101631
2015-02-02,6.301000118255615,-0.0016537508748668429,-1.0,0.0016537508748668429,13.318135007255648,12.962715032381865
2015-02-03,6.527429103851318,0.035304790655709246,1.0,-0.035304790655709246,13.796727570836552,12.513053401646328
2015-02-04,6.41014289855957,-0.018131596632273476,-1.0,-0.018131596632273476,13.548825097062808,12.288216252633683
2015-02-05,6.413000106811523,0.00044563307108728923,1.0,-0.00044563307108728923,13.55486424712299,12.28274143705688
2015-02-06,6.3480000495910645,-0.010187386345955321,-1.0,-0.010187386345955321,13.417476606860404,12.158247614674933
2015-02-09,6.329570770263672,-0.002907385424382872,-1.0,0.002907385424382872,13.378523484250941,12.193647762576765
2015-02-10,6.485000133514404,0.024259413304739064,1.0,-0.024259413304739064,13.707047401885482,11.901396279396927
2015-02-11,6.498428821563721,0.002068589566638297,1.0,0.002068589566638297,13.735431004020793,11.926040864546799
2015-02-12,6.52471399307251,0.004036691845542833,1.0,0.004036691845542833,13.79098876568924,11.974279914039073
2015-02-13,6.658570766448975,0.020307742121438738,1.0,0.020307742121438738,14.073915689353056,12.21993642473083
2015-02-17,6.713714122772217,0.008247456489763477,1.0,0.008247456489763477,14.190469672924388,12.321136566946285
2015-02-18,6.786571025848389,0.01079349207644445,1.0,0.01079349207644445,14.344463967983636,12.45484494895818
2015-02-19,6.78000020980835,-0.0009686775589356998,-1.0,-0.0009686775589356998,14.33057553543536,12.442786061685783
2015-02-20,6.8314290046691895,0.007556743496119142,1.0,-0.007556743496119142,14.439278220780928,12.34911349458066
2015-02-23,6.740571022033691,-0.0133892336880601,-1.0,-0.0133892336880601,14.247235869326179,12.18487032690849
2015-02-24,6.783999919891357,0.006422243975587433,1.0,-0.006422243975587433,14.33902953922454,12.106866863599976
2015-02-25,6.833285808563232,0.007238755926528239,1.0,0.007238755926528239,14.443202862024973,12.194823482033154
2015-02-26,6.900428771972656,0.009777907930489644,1.0,0.009777907930489644,14.585119864832695,12.314648206152325
2015-02-27,6.78442907333374,-0.016953406210500413,-1.0,-0.016953406210500413,14.33993662117617,12.107632739727974
2015-03-02,6.860713958740234,0.011181367612760316,1.0,-0.011181367612760316,14.50117648529126,11.973006900252855
2015-03-03,6.781570911407471,-0.011602738978199603,-1.0,-0.011602738978199603,14.333895455378318,11.83489004280611
2015-03-04,6.710999965667725,-0.01046080690193172,-1.0,0.01046080690193172,14.184732883514751,11.959342343107028
2015-03-05,6.680714130401611,-0.00452307847699492,-1.0,0.00452307847699492,14.120719102319448,12.013557905249728
2015-03-06,6.487429141998291,-0.029358561386258124,-1.0,0.029358561386258124,13.712181485731701,12.371487117203104
2015-03-09,6.366143226623535,-0.018872498906031487,-1.0,0.018872498906031487,13.455825008168777,12.60718510358862
2015-03-10,6.215143203735352,-0.02400506096298775,-1.0,0.02400506096298775,13.136663184143885,12.913482991954783
2015-03-11,6.288428783416748,0.011722477220951518,1.0,-0.011722477220951518,13.291563553285922,12.762988787541286
2015-03-12,6.404571056365967,0.018300719434728864,1.0,0.018300719434728864,13.537048149724155,12.998711028893446
2015-03-13,6.262856960296631,-0.02237549854895961,-1.0,-0.02237549854895961,13.237513563394849,12.71108824083879
2015-03-16,6.028142929077148,-0.03819747308941066,-1.0,0.03819747308941066,12.741409278803328,13.206011934137909
2015-03-17,5.978857040405273,-0.008209572017525962,-1.0,0.008209572017525962,12.637235956002897,13.314873883769213
2015-03-18,6.0445709228515625,0.010931081715437068,1.0,-0.010931081715437068,12.776132375911693,13.170120506175888
