Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
1986-03-13,0.0593886598944664,0.062040385862527817,0.0540864276888447,0.0540864276888447,1031788800
1986-03-14,0.061509519815444946,0.06257057555322909,0.05938862806972418,0.05938862806972418,308160000
1986-03-17,0.06257060915231705,0.06310083237346585,0.061509552844768216,0.061509552844768216,133171200
1986-03-18,0.060979295521974564,0.06310079708540696,0.060449072597344014,0.0625705741607764,67766400
1986-03-19,0.05991887301206589,0.061509542405548526,0.059388649880905,0.06097931927438765,47894400
1986-03-20,0.05832820013165474,0.0599188694300453,0.05779797703219122,0.0599188694300453,58435200
1986-03-21,0.056737493723630905,0.059388607486965325,0.05567704821829713,0.05832816198163156,59990400
1986-03-24,0.05514685809612274,0.05673752729532515,0.054616635029721944,0.05673752729532515,65289600
1986-03-25,0.056207310408353806,0.056207310408353806,0.05461664103427327,0.05514686415896678,32083200
1986-03-26,0.057798001915216446,0.058328225242950144,0.055677108604281635,0.05620733193201534,22752000
1986-03-27,0.05885842442512512,0.05885842442512512,0.05779797820468578,0.05779797820468578,16848000
1986-03-31,0.05832820013165474,0.058858423231118256,0.057267753932727705,0.058858423231118256,12873600
1986-04-01,0.057798001915216446,0.058328225242950144,0.057798001915216446,0.058328225242950144,11088000
1986-04-02,0.05832820013165474,0.05938864633058178,0.05779797703219122,0.05779797703219122,27014400
1986-04-03,0.05885842442512512,0.06044909375578413,0.05885842442512512,0.05885842442512512,23040000
1986-04-04,0.05885842442512512,0.05938864753534479,0.05885842442512512,0.05885842442512512,26582400
1986-04-07,0.057798001915216446,0.059388671898417546,0.05673755525974904,0.05885844857068385,16560000
1986-04-08,0.05832820013165474,0.05938864633058178,0.05779797703219122,0.05779797703219122,10252800
1986-04-09,0.0593886598944664,0.059918883115028576,0.05832821345334206,0.05832821345334206,12153600
1986-04-10,0.05991887301206589,0.060449096143226765,0.05832820361858324,0.059388649880905,13881600
1986-04-11,0.060979295521974564,0.062040351236145846,0.060449072597344014,0.060449072597344014,17222400
1986-04-14,0.061509519815444946,0.06204035261679889,0.06097929687901475,0.06097929687901475,12153600
1986-04-15,0.061509519815444946,0.061509519815444946,0.05938862806972418,0.061509519815444946,9302400
1986-04-16,0.06363103538751602,0.06416125844028363,0.06097931025862042,0.061509533311388025,31910400
1986-04-17,0.0641612783074379,0.0641612783074379,0.06363105509048986,0.06363105509048986,22003200
1986-04-18,0.062040358781814575,0.06416125073829061,0.061509525927711216,0.06416125073829061,21628800
1986-04-21,0.062040358781814575,0.0625705817709336,0.0604490799494732,0.06204035878181458,22924800
1986-04-22,0.060979295521974564,0.062040351236145846,0.06097929552197457,0.062040351236145846,15552000
1986-04-23,0.061244428157806396,0.061509541997243206,0.06044909574196077,0.06097931886960199,15609600
1986-04-24,0.06734263151884079,0.0684030781717736,0.06097934173587148,0.06124445112348763,62352000
1986-04-25,0.07158501446247101,0.07450124448232676,0.0678728420136369,0.0678728420136369,85795200
1986-04-28,0.07211519777774811,0.07264542071053039,0.07105414204726397,0.07158497484496582,28886400
1986-04-29,0.06999372690916061,0.07211522943655546,0.06946350374360873,0.07211522943655546,30326400
1986-04-30,0.06840303540229797,0.0705239273820611,0.06681236641747564,0.06999370438712031,30902400
1986-05-01,0.06734263151884079,0.0684030781717736,0.06628218486590796,0.0684030781717736,54345600
1986-05-02,0.06734263151884079,0.0684030781717736,0.06681240819237437,0.06734263151884079,20246400
1986-05-05,0.06681236624717712,0.06734258924076642,0.06681236624717712,0.06734258924076642,3254400
1986-05-06,0.06734263151884079,0.0684030781717736,0.06734263151884079,0.06734263151884079,9734400
1986-05-07,0.06734263151884079,0.0678728548453072,0.06628218486590796,0.06734263151884079,5155200
1986-05-08,0.06787280738353729,0.06787280738353729,0.06681236147214797,0.06734258442784263,3542400
1986-05-09,0.06734263151884079,0.0678728548453072,0.06734263151884079,0.0678728548453072,6076800
1986-05-12,0.06787280738353729,0.06946347625062126,0.06734258442784263,0.06734258442784263,10483200
1986-05-13,0.06840303540229797,0.06893325839723875,0.0678728124073572,0.0678728124073572,3830400
1986-05-14,0.06787280738353729,0.06840303033923195,0.06787280738353729,0.06840303033923195,9302400
1986-05-15,0.06787280738353729,0.0689332532949266,0.06787280738353729,0.06787280738353729,3801600
1986-05-16,0.06840303540229797,0.06999370438712031,0.0678728124073572,0.0678728124073572,11952000
1986-05-19,0.06734263151884079,0.0684030781717736,0.06681240819237437,0.0684030781717736,11001600
1986-05-20,0.06681236624717712,0.06734258924076642,0.06628214325358783,0.06734258924076642,61977600
1986-05-21,0.06575190275907516,0.06734257131646108,0.06575190275907516,0.06681234846399911,8092800
1986-05-22,0.06575190275907516,0.06628212561153714,0.06575190275907516,0.06575190275907516,4406400
1986-05-23,0.06575190275907516,0.06681234846399911,0.06575190275907516,0.06575190275907516,4089600
1986-05-27,0.06787280738353729,0.06787280738353729,0.06575191556075867,0.06575191556075867,13881600
1986-05-28,0.06999372690916061,0.06999372690916061,0.06787283424695305,0.06787283424695305,15523200
1986-05-29,0.07158501446247101,0.07264546091492159,0.06946351169231277,0.06999373491853807,45676800
1986-05-30,0.07423611730337143,0.07529656356597411,0.07211522477816605,0.07211522477816605,27072000
1986-06-02,0.07211519777774811,0.07423608950887726,0.07211519777774811,0.07423608950887726,19728000
1986-06-03,0.07211519777774811,0.07211519777774811,0.07105414204726397,0.07211519777774811,5011200
1986-06-04,0.07158501446247101,0.07264546091492159,0.07105418137098865,0.07211523768869631,4723200
1986-06-05,0.07264545559883118,0.07264545559883118,0.07105417617134578,0.07158500922398255,13708800
1986-06-06,0.07264545559883118,0.07264545559883118,0.07158500922398255,0.07264545559883118,3427200
1986-06-09,0.06946347653865814,0.07264542415096623,0.06946347653865814,0.07264542415096623,12672000
1986-06-10,0.06946347653865814,0.06946347653865814,0.06840303062287159,0.06946347653865814,3427200
1986-06-11,0.06946347653865814,0.06946347653865814,0.06840303062287159,0.06946347653865814,2304000
1986-06-12,0.06681236624717712,0.06946348121512358,0.06628214325358783,0.06946348121512358,13708800
1986-06-13,0.06681236624717712,0.06734258924076642,0.06628214325358783,0.06681236624717712,7891200
1986-06-16,0.06628215312957764,0.06734259927476188,0.06575193005698553,0.06681237620216976,9590400
1986-06-17,0.06734263151884079,0.0684030781717736,0.06681240819237437,0.06681240819237437,13075200
1986-06-18,0.06681236624717712,0.06734258924076642,0.06575192025999854,0.06734258924076642,4348800
1986-06-19,0.06628215312957764,0.06734259927476188,0.06575193005698553,0.06681237620216976,8467200
1986-06-20,0.06654725223779678,0.06681236143990069,0.06628213848446195,0.06628213848446195,3801600
1986-06-23,0.06734263151884079,0.06734263151884079,0.06522173821297514,0.06654729880475822,46195200
1986-06-24,0.06681236624717712,0.0678728122343557,0.06628214325358783,0.06734258924076642,14572800
1986-06-25,0.06575190275907516,0.06734257131646108,0.06575190275907516,0.06681234846399911,15235200
1986-06-26,0.06363103538751602,0.06628215065135407,0.06363103538751602,0.06575192759858646,19152000
1986-06-27,0.06310081481933594,0.06416126096662611,0.06257059174569087,0.06363103789298102,10396800
